animal	mother	father
F153xM124.10	153	124
F140xM119.1	140	119
F140xM119.2	140	119
F140xM119.3	140	119
F140xM119.4	140	119
F140xM119.5	140	119
F140xM119.6	140	119
F140xM119.7	140	119
F140xM119.8	140	119
F140xM119.9	140	119
F140xM119.10	140	119
F217xM265.1	217	265
F217xM265.2	217	265
F217xM265.3	217	265
F217xM265.4	217	265
F217xM265.5	217	265
F217xM265.6	217	265
F217xM265.7	217	265
F217xM265.8	217	265
F217xM265.9	217	265
F217xM265.10	217	265
F239xM271.2	239	271
F239xM271.3	239	271
F239xM271.4	239	271
F239xM271.5	239	271
F239xM271.6	239	271
F239xM271.7	239	271
F239xM271.10	239	271
F252xM215.1	252	215
F252xM215.4	252	215
F252xM215.5	252	215
F252xM215.6	252	215
F252xM215.7	252	215
F252xM215.8	252	215
F252xM215.9	252	215
F252xM215.10	252	215
F277xM220.1	277	220
F277xM220.2	277	220
F277xM220.3	277	220
F277xM220.4	277	220
F277xM220.5	277	220
F277xM220.6	277	220
F277xM220.8	277	220
F277xM220.9	277	220
F277xM220.10	277	220
F259xM248.1	259	248
F259xM248.2	259	248
F259xM248.3	259	248
F259xM248.4	259	248
F259xM248.6	259	248
F259xM248.7	259	248
F259xM248.8	259	248
F259xM248.9	259	248
F259xM248.10	259	248
F246xM266.1	246	266
F246xM266.2	246	266
F246xM266.3	246	266
F246xM266.4	246	266
F246xM266.5	246	266
F246xM266.6	246	266
F246xM266.7	246	266
F246xM266.8	246	266
F246xM266.9	246	266
F246xM266.10	246	266
F246xM266.11	246	266
F235xM255.1	235	255
F235xM255.2	235	255
F235xM255.3	235	255
F235xM255.4	235	255
F228xM269.1	228	269
F228xM269.2	228	269
F228xM269.3	228	269
F228xM269.4	228	269
F228xM269.5	228	269
F228xM269.6	228	269
F228xM269.7	228	269
F228xM269.8	228	269
F228xM269.9	228	269
F228xM269.10	228	269
F240xM275.1	240	275
F240xM275.2	240	275
F240xM275.3	240	275
F240xM275.4	240	275
F240xM275.5	240	275
F256xM237.1	256	237
F256xM237.2	256	237
F256xM237.3	256	237
F256xM237.4	256	237
F256xM237.5	256	237
F218xM257.1	218	257
F218xM257.2	218	257
F218xM257.3	218	257
F218xM257.4	218	257
F218xM257.6	218	257
F218xM257.7	218	257
F218xM257.10	218	257
F249xM229.1	249	229
F249xM229.2	249	229
F249xM229.3	249	229
F249xM229.4	249	229
F249xM229.5	249	229
F249xM229.6	249	229
F249xM229.7	249	229
F249xM229.8	249	229
F249xM229.9	249	229
F249xM229.10	249	229
F223xM264.1	223	264
F223xM264.2	223	264
F223xM264.3	223	264
F223xM264.4	223	264
F223xM264.5	223	264
F223xM264.6	223	264
F223xM264.7	223	264
F223xM264.8	223	264
F223xM264.9	223	264
F223xM264.10	223	264
F221xM219.1	221	219
F221xM219.2	221	219
F221xM219.3	221	219
F221xM219.4	221	219
F221xM219.6	221	219
F221xM219.7	221	219
F221xM219.8	221	219
F221xM219.10	221	219
F276xM241.1	276	241
F276xM241.2	276	241
F276xM241.4	276	241
F276xM241.5	276	241
F276xM241.8	276	241
F276xM241.9	276	241
F276xM241.10	276	241
F245xM261.1	245	261
F245xM261.2	245	261
F245xM261.3	245	261
F245xM261.4	245	261
F245xM261.5	245	261
F245xM261.6	245	261
F245xM261.7	245	261
F245xM261.8	245	261
F244xM233.1	244	233
F244xM233.2	244	233
F244xM233.8	244	233
F244xM233.9	244	233
F247xM265.5	247	265
F247xM265.6	247	265
F247xM265.10	247	265
F330xM324.1	330	324
F330xM324.2	330	324
F330xM324.3	330	324
F330xM324.4	330	324
F330xM324.5	330	324
F330xM324.6	330	324
F330xM324.7	330	324
F330xM324.8	330	324
F330xM324.9	330	324
F330xM324.10	330	324
F349xM344.1	349	344
F349xM344.2	349	344
F349xM344.3	349	344
F349xM344.5	349	344
F349xM344.6	349	344
F349xM344.7	349	344
F349xM344.8	349	344
F349xM344.9	349	344
F349xM344.10	349	344
F360xM352.1	360	352
F360xM352.2	360	352
F360xM352.3	360	352
F360xM352.4	360	352
F360xM352.5	360	352
F360xM352.6	360	352
F360xM352.7	360	352
F360xM352.8	360	352
F360xM352.9	360	352
F360xM352.10	360	352
F362xM363.1	362	363
F362xM363.2	362	363
F362xM363.4	362	363
F362xM363.5	362	363
F362xM363.6	362	363
F362xM363.7	362	363
F362xM363.8	362	363
F362xM363.9	362	363
F362xM363.10	362	363
F365xM366.1	365	366
F365xM366.2	365	366
F365xM366.3	365	366
F365xM366.4	365	366
F368xM316.1	368	316
F368xM316.2	368	316
F368xM316.3	368	316
F368xM316.4	368	316
F368xM316.5	368	316
F368xM316.6	368	316
F368xM316.7	368	316
F368xM316.8	368	316
F368xM316.9	368	316
F368xM316.10	368	316
F355xM329.1	355	329
F355xM329.2	355	329
F355xM329.3	355	329
F355xM329.4	355	329
F355xM329.5	355	329
F355xM329.6	355	329
F355xM329.7	355	329
F355xM329.8	355	329
F355xM329.9	355	329
F355xM329.10	355	329
F375xM367.1	375	367
F375xM367.3	375	367
F375xM367.4	375	367
F375xM367.5	375	367
F375xM367.6	375	367
F375xM367.7	375	367
F375xM367.9	375	367
F375xM367.10	375	367
F375xM367.11	375	367
F341xM340.2	341	340
F341xM340.3	341	340
F341xM340.4	341	340
F341xM340.5	341	340
F341xM340.6	341	340
F341xM340.7	341	340
F341xM340.8	341	340
F341xM340.9	341	340
F341xM340.10	341	340
F347xM364.1	347	364
F347xM364.3	347	364
F347xM364.4	347	364
F347xM364.6	347	364
F347xM364.7	347	364
F347xM364.8	347	364
F347xM364.9	347	364
F347xM364.10	347	364
F342xM338.1	342	338
F342xM338.2	342	338
F342xM338.3	342	338
F342xM338.4	342	338
F342xM338.5	342	338
F342xM338.7	342	338
F342xM338.8	342	338
F342xM338.9	342	338
F342xM338.10	342	338
F353xM328.1	353	328
F353xM328.2	353	328
F353xM328.3	353	328
F353xM328.5	353	328
F353xM328.6	353	328
F353xM328.7	353	328
F353xM328.8	353	328
F353xM328.10	353	328
F319xM334.1	319	334
F319xM334.2	319	334
F319xM334.3	319	334
F319xM334.4	319	334
F319xM334.5	319	334
F319xM334.6	319	334
F319xM334.7	319	334
F319xM334.8	319	334
F319xM334.9	319	334
F319xM334.10	319	334
F350xM346.1	350	346
F350xM346.2	350	346
F350xM346.4	350	346
F350xM346.5	350	346
F350xM346.6	350	346
F350xM346.7	350	346
F350xM346.8	350	346
F350xM346.9	350	346
F350xM346.10	350	346
F351xM331.1	351	331
F351xM331.2	351	331
F351xM331.3	351	331
F351xM331.5	351	331
F351xM331.6	351	331
F351xM331.7	351	331
F351xM331.8	351	331
F351xM331.9	351	331
F351xM331.10	351	331
F369xM356.6	369	356
F369xM356.7	369	356
F369xM356.8	369	356
F369xM356.9	369	356
F369xM356.10	369	356
F377xM336.1	377	336
F377xM336.2	377	336
F377xM336.3	377	336
F377xM336.5	377	336
F377xM336.6	377	336
F377xM336.7	377	336
F377xM336.8	377	336
F377xM336.10	377	336
F381xM312.1	381	312
F381xM312.2	381	312
F381xM312.3	381	312
F381xM312.4	381	312
F381xM312.5	381	312
F381xM312.6	381	312
F381xM312.8	381	312
F381xM312.9	381	312
F381xM312.10	381	312
F379xM313.1	379	313
F379xM313.2	379	313
F379xM313.3	379	313
F379xM313.4	379	313
F379xM313.6	379	313
F379xM313.7	379	313
F379xM313.8	379	313
F379xM313.9	379	313
F379xM313.10	379	313
